iter	Passed	Remaining
0	58	58194
1	58	29219
2	58	19550
3	59	14715
4	59	11815
5	59	9881
6	59	8498
7	60	7462
8	60	6659
9	60	6013
10	60	5483
11	61	5043
12	61	4670
13	61	4353
14	62	4075
15	62	3831
16	62	3619
17	62	3430
18	63	3262
19	63	3110
20	63	2971
21	64	2847
22	64	2735
23	64	2629
24	64	2533
25	65	2442
26	65	2358
27	65	2280
28	65	2207
29	66	2140
30	66	2076
31	66	2017
32	66	1961
33	67	1909
34	67	1859
35	67	1812
36	67	1768
37	68	1726
38	68	1686
39	68	1649
40	68	1613
41	69	1579
42	69	1546
43	69	1515
44	69	1485
45	70	1456
46	70	1428
47	70	1403
48	71	1378
49	71	1354
50	71	1330
51	71	1308
52	72	1286
53	72	1265
54	72	1246
55	72	1227
56	73	1209
57	73	1190
58	73	1173
59	73	1156
60	74	1139
61	74	1123
62	74	1108
63	74	1093
64	75	1079
65	75	1064
66	75	1051
67	75	1035
68	75	1022
69	76	1010
70	76	998
71	76	986
72	76	975
73	77	964
74	77	953
75	77	942
76	77	931
77	77	921
78	78	912
79	78	902
80	78	892
81	78	883
82	79	874
83	79	865
84	79	855
85	79	848
86	79	838
87	80	831
88	80	823
89	80	816
90	80	808
91	81	801
92	81	794
93	81	787
94	81	780
95	82	773
96	82	766
97	82	759
98	82	753
99	83	747
100	83	741
101	83	735
102	83	729
103	83	723
104	84	717
105	84	711
106	84	706
107	84	700
108	85	695
109	85	690
110	85	684
111	85	679
112	86	675
113	86	671
114	86	666
115	86	661
116	86	656
117	87	651
118	87	646
119	87	642
120	87	638
121	88	633
122	88	628
123	88	624
124	88	619
125	88	615
126	89	612
127	89	607
128	89	603
129	89	599
130	89	596
131	90	592
132	90	588
133	90	585
134	90	581
135	91	578
136	91	574
137	91	571
138	91	568
139	91	564
140	92	561
141	92	558
142	92	555
143	92	551
144	93	548
145	93	545
146	93	542
147	93	539
148	93	536
149	94	533
150	94	530
151	94	528
152	94	525
153	95	522
154	95	519
155	95	517
156	95	515
157	96	512
158	96	509
159	96	507
160	96	504
161	97	501
162	97	499
163	97	497
164	97	494
165	98	492
166	98	490
167	98	487
168	98	485
169	99	483
170	99	481
171	99	479
172	99	477
173	100	475
174	100	473
175	100	471
176	100	469
177	101	467
178	101	465
179	101	463
180	101	460
181	102	458
182	102	457
183	102	455
184	102	453
185	103	451
186	103	449
187	103	447
188	103	445
189	104	443
190	104	442
191	104	440
192	104	438
193	105	436
194	105	434
195	105	433
196	105	431
197	106	429
198	106	427
199	106	426
200	106	424
201	107	422
202	107	421
203	107	419
204	107	417
205	107	416
206	108	414
207	108	413
208	108	411
209	108	409
210	109	408
211	109	406
212	109	405
213	109	403
214	110	402
215	110	400
216	110	399
217	110	397
218	111	396
219	111	394
220	111	393
221	111	391
222	112	390
223	112	389
224	112	387
225	112	386
226	113	384
227	113	383
228	113	382
229	113	380
230	113	379
231	114	378
232	115	379
233	115	378
234	115	376
235	115	375
236	116	374
237	116	373
238	116	371
239	116	370
240	117	369
241	117	367
242	117	366
243	117	365
244	118	364
245	118	362
246	118	361
247	118	360
248	119	359
249	119	358
250	119	356
251	119	355
252	120	354
253	120	353
254	120	352
255	120	351
256	121	349
257	121	348
258	121	347
259	121	346
260	121	345
261	122	344
262	122	342
263	122	341
264	122	340
265	123	339
266	123	338
267	123	337
268	123	336
269	123	335
270	124	334
271	124	333
272	124	331
273	124	330
274	125	329
275	125	328
276	125	327
277	125	326
278	125	325
279	126	324
280	126	323
281	126	322
282	126	321
283	127	320
284	127	319
285	127	318
286	127	317
287	128	316
288	128	315
289	128	315
290	128	314
291	129	313
292	129	312
293	129	311
294	129	310
295	130	309
296	130	308
297	130	307
298	130	306
299	131	305
300	131	304
301	131	303
302	131	303
303	131	302
304	132	301
305	132	300
306	132	299
307	132	298
308	133	297
309	133	296
310	133	296
311	133	295
312	134	294
313	134	293
314	134	292
315	134	291
316	135	290
317	135	290
318	135	289
319	135	288
320	135	287
321	136	286
322	136	286
323	136	285
324	136	284
325	137	283
326	137	282
327	137	282
328	137	281
329	138	280
330	138	280
331	138	279
332	138	278
333	139	277
334	139	276
335	139	275
336	139	275
337	140	274
338	140	273
339	140	272
340	140	272
341	141	271
342	141	270
343	141	269
344	141	269
345	142	268
346	142	267
347	142	267
348	142	266
349	143	265
350	143	265
351	143	264
352	143	263
353	144	262
354	144	262
355	144	261
356	144	260
357	144	259
358	145	259
359	145	258
360	145	257
361	145	257
362	146	256
363	146	255
364	146	255
365	146	254
366	147	253
367	147	252
368	147	252
369	147	251
370	147	250
371	148	250
372	148	249
373	148	248
374	148	248
375	149	247
376	150	248
377	150	247
378	150	246
379	150	246
380	151	245
381	151	244
382	151	244
383	151	243
384	152	242
385	152	242
386	152	241
387	152	241
388	153	240
389	153	239
390	153	239
391	153	238
392	153	237
393	154	237
394	154	236
395	154	235
396	154	235
397	155	234
398	155	234
399	155	233
400	155	232
401	156	232
402	156	231
403	156	231
404	156	230
405	157	230
406	157	229
407	157	228
408	158	228
409	158	227
410	158	227
411	158	226
412	158	225
413	159	225
414	159	224
415	159	223
416	159	223
417	160	222
418	160	222
419	160	221
420	160	221
421	160	220
422	161	219
423	161	219
424	161	218
425	161	218
426	162	217
427	162	217
428	162	216
429	162	215
430	163	215
431	163	214
432	163	214
433	163	213
434	164	213
435	164	212
436	164	212
437	164	211
438	165	210
439	165	210
440	165	209
441	165	209
442	165	208
443	166	208
444	166	207
445	166	207
446	166	206
447	167	205
448	167	205
449	167	204
450	167	204
451	168	203
452	168	203
453	168	202
454	168	202
455	168	201
456	169	201
457	169	200
458	169	199
459	169	199
460	170	198
461	170	198
462	170	197
463	170	197
464	171	196
465	171	196
466	171	195
467	171	195
468	171	194
469	172	194
470	172	193
471	172	193
472	172	192
473	173	192
474	173	191
475	173	190
476	173	190
477	173	189
478	174	189
479	174	189
480	174	188
481	175	188
482	175	187
483	175	187
484	175	186
485	176	186
486	176	185
487	176	185
488	176	184
489	177	184
490	177	183
491	177	183
492	177	182
493	178	182
494	178	181
495	178	181
496	178	180
497	178	180
498	179	179
499	179	179
500	179	178
501	179	178
502	180	177
503	180	177
504	180	176
505	180	176
506	180	175
507	181	175
508	181	175
509	181	174
510	181	174
511	182	173
512	182	173
513	182	172
514	182	172
515	183	171
516	183	171
517	183	170
518	183	170
519	184	169
520	184	169
521	184	169
522	184	168
523	185	168
524	185	167
525	185	167
526	185	166
527	186	166
528	186	165
529	186	165
530	186	164
531	186	164
532	187	164
533	187	163
534	187	163
535	187	162
536	188	162
537	188	161
538	188	161
539	188	160
540	189	160
541	189	159
542	189	159
543	189	159
544	189	158
545	190	158
546	190	157
547	190	157
548	191	156
549	191	156
550	191	156
551	191	155
552	191	155
553	192	154
554	192	154
555	192	153
556	192	153
557	193	152
558	193	152
559	193	152
560	193	151
561	194	151
562	194	150
563	194	150
564	194	149
565	195	149
566	195	149
567	195	148
568	195	148
569	196	147
570	196	147
571	196	147
572	196	146
573	197	146
574	197	145
575	197	145
576	197	145
577	198	144
578	198	144
579	198	143
580	198	143
581	199	143
582	199	142
583	199	142
584	199	141
585	200	141
586	200	140
587	200	140
588	200	140
589	200	139
590	201	139
591	201	138
592	201	138
593	201	137
594	202	137
595	202	137
596	202	136
597	202	136
598	203	135
599	203	135
600	203	135
601	203	134
602	203	134
603	204	133
604	204	133
605	204	133
606	204	132
607	205	132
608	205	131
609	205	131
610	205	131
611	206	130
612	206	130
613	206	129
614	206	129
615	207	129
616	207	128
617	207	128
618	207	127
619	208	127
620	208	127
621	208	126
622	208	126
623	209	125
624	209	125
625	209	125
626	209	124
627	210	124
628	210	124
629	210	123
630	210	123
631	211	122
632	211	122
633	211	122
634	211	121
635	212	121
636	212	120
637	212	120
638	212	120
639	212	119
640	213	119
641	213	118
642	213	118
643	213	118
644	214	117
645	214	117
646	214	117
647	214	116
648	215	116
649	215	115
650	215	115
651	215	115
652	216	114
653	216	114
654	216	114
655	216	113
656	217	113
657	217	112
658	217	112
659	217	112
660	218	111
661	218	111
662	218	111
663	218	110
664	219	110
665	219	109
666	219	109
667	219	109
668	219	108
669	220	108
670	220	108
671	220	107
672	221	107
673	221	107
674	221	106
