iter	Passed	Remaining
0	59	59001
1	59	29620
2	59	19852
3	60	14949
4	60	12001
5	60	10032
6	60	8629
7	61	7577
8	61	6758
9	61	6100
10	61	5564
11	62	5123
12	62	4745
13	62	4424
14	63	4147
15	63	3901
16	63	3684
17	63	3490
18	64	3319
19	64	3169
20	65	3032
21	65	2904
22	65	2792
23	66	2691
24	66	2591
25	66	2501
26	67	2418
27	67	2341
28	67	2270
29	68	2202
30	68	2138
31	68	2077
32	68	2020
33	69	1966
34	69	1914
35	69	1866
36	69	1821
37	70	1778
38	70	1738
39	70	1699
40	71	1663
41	71	1627
42	71	1599
43	72	1568
44	72	1537
45	72	1507
46	72	1479
47	73	1452
48	73	1429
49	73	1405
50	74	1381
51	74	1358
52	74	1335
53	75	1314
54	75	1294
55	75	1273
56	75	1254
57	76	1235
58	76	1217
59	76	1200
60	77	1185
61	77	1168
62	77	1153
63	77	1137
64	78	1122
65	78	1108
66	78	1094
67	78	1080
68	79	1066
69	79	1053
70	79	1040
71	79	1027
72	79	1015
73	80	1003
74	80	993
75	80	982
76	81	971
77	81	960
78	81	951
79	81	941
80	82	932
81	82	922
82	82	911
83	82	902
84	82	893
85	83	884
86	83	875
87	83	867
88	83	859
89	84	851
90	84	843
91	84	835
92	84	827
93	85	820
94	85	813
95	85	806
96	85	799
97	86	792
98	86	785
99	86	780
100	86	774
101	87	768
102	87	762
103	87	756
104	88	750
105	88	744
106	88	738
107	88	733
108	88	727
109	89	722
110	89	716
111	89	711
112	89	705
113	90	700
114	90	695
115	90	690
116	90	685
117	91	680
118	91	675
119	91	670
120	91	666
121	91	661
122	92	656
123	92	652
124	92	648
125	92	643
126	93	639
127	93	635
128	93	631
129	93	627
130	93	623
131	94	619
132	94	615
133	94	611
134	94	608
135	95	604
136	95	600
137	95	597
138	95	593
139	96	590
140	96	586
141	96	582
142	96	579
143	97	577
144	97	574
145	97	571
146	97	568
147	98	564
148	98	561
149	98	558
150	98	555
151	99	552
152	99	549
153	99	547
154	99	544
155	100	541
156	100	538
157	100	536
158	100	533
159	101	530
160	101	527
161	101	525
162	101	522
163	101	519
164	102	517
165	102	514
166	102	512
167	103	510
168	103	507
169	103	505
170	103	503
171	104	501
172	104	499
173	104	497
174	105	495
175	105	493
176	105	490
177	105	488
178	106	486
179	106	484
180	106	482
181	106	479
182	107	477
183	107	475
184	107	473
185	107	471
186	108	470
187	108	468
188	108	467
189	109	465
190	109	463
191	109	462
192	110	460
193	110	458
194	110	456
195	110	454
196	111	453
197	111	451
198	111	449
199	111	447
200	112	445
201	112	443
202	112	442
203	112	440
204	113	438
205	113	436
206	113	435
207	113	433
208	114	431
209	114	429
210	114	428
211	114	426
212	115	424
213	115	423
214	115	421
215	115	420
216	115	418
217	116	416
218	116	415
219	116	413
220	116	411
221	117	410
222	117	408
223	117	407
224	117	406
225	118	404
226	118	403
227	118	401
228	118	400
229	119	398
230	119	397
231	119	396
232	119	394
233	120	393
234	120	391
235	120	390
236	120	389
237	121	387
238	121	386
239	121	384
240	121	383
241	121	382
242	122	380
243	122	379
244	122	378
245	122	376
246	123	375
247	123	374
248	123	372
249	123	371
250	124	370
251	124	369
252	124	367
253	124	366
254	125	365
255	125	364
256	125	363
257	125	361
258	126	360
259	126	359
260	126	358
261	126	356
262	126	355
263	127	354
264	127	353
265	127	352
266	127	351
267	128	350
268	128	348
269	128	347
270	128	346
271	129	345
272	129	344
273	129	343
274	129	342
275	130	341
276	130	340
277	130	339
278	130	338
279	131	337
280	131	336
281	131	335
282	131	334
283	132	333
284	132	332
285	132	331
286	132	330
287	133	329
288	133	328
289	133	327
290	133	326
291	134	325
292	134	324
293	134	323
294	134	322
295	135	321
296	135	320
297	135	319
298	135	318
299	136	317
300	136	316
301	136	315
302	136	315
303	137	314
304	137	313
305	137	312
306	137	311
307	138	310
308	138	309
309	138	308
310	138	307
311	139	306
312	139	305
313	139	304
314	139	303
315	139	303
316	140	302
317	140	301
318	140	300
319	141	299
320	141	298
321	141	298
322	141	297
323	142	296
324	142	295
325	142	294
326	142	293
327	142	292
328	143	292
329	143	291
330	143	290
331	144	289
332	144	288
333	144	288
334	144	287
335	144	286
336	145	285
337	145	284
338	145	283
339	145	283
340	146	282
341	146	281
342	146	280
343	146	279
344	147	279
345	147	278
346	147	277
347	147	276
348	147	275
349	149	276
350	149	275
351	149	275
352	149	274
353	149	273
354	150	273
355	150	272
356	150	271
357	150	270
358	151	270
359	151	269
360	151	268
361	152	268
362	152	267
363	152	266
364	152	265
365	153	265
366	153	264
367	153	263
368	153	262
369	153	262
370	154	261
371	154	260
372	154	259
373	154	259
374	155	258
375	155	257
376	155	257
